Time,LS Win %,Last Game,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
1999-02-23 00:00:00,0.7362637362637363,22156.0,23079.0,Chicago Bulls,Milwaukee Bucks,0,3.0,Tuesday,February,22302.0
1999-02-23 00:00:00,0.7536231884057971,18121.0,18121.0,Dallas Mavericks,Atlanta Hawks,0,2.0,Tuesday,February,13387.0
1999-02-23 00:00:00,0.4722222222222222,17225.0,22076.0,Detroit Pistons,Toronto Raptors,0,1.0,Tuesday,February,14187.0
1999-02-23 00:00:00,0.6056338028169014,10946.0,13855.0,Los Angeles Clippers,Golden State Warriors,0,0.0,Tuesday,February,8688.0
1999-02-23 00:00:00,0.5441176470588235,20674.0,20674.0,Washington Wizards,Miami Heat,0,2.0,Tuesday,February,12879.0
1999-02-24 00:00:00,0.6805555555555556,17171.0,17171.0,Denver Nuggets,Utah Jazz,0,4.0,Wednesday,February,10925.0
1999-02-24 00:00:00,0.5441176470588235,18173.0,18624.0,Boston Celtics,Orlando Magic,0,3.0,Wednesday,February,18235.0
1999-02-24 00:00:00,0.7435897435897436,18049.0,22989.0,Charlotte Hornets,Miami Heat,0,5.0,Wednesday,February,17828.0
1999-02-24 00:00:00,0.7032967032967034,15011.0,16795.0,Indiana Pacers,Toronto Raptors,0,0.0,Wednesday,February,14700.0
1999-02-24 00:00:00,0.375,15159.0,20930.0,Philadelphia 76ers,Sacramento Kings,0,2.0,Wednesday,February,14437.0
1999-02-24 00:00:00,0.4722222222222222,14187.0,22076.0,Detroit Pistons,Cleveland Cavaliers,0,3.0,Wednesday,February,13271.0
1999-02-25 00:00:00,0.7362637362637363,22302.0,23079.0,Chicago Bulls,Philadelphia 76ers,0,3.0,Thursday,February,22337.0
1999-02-25 00:00:00,0.7215189873417721,13203.0,20562.0,Cleveland Cavaliers,Indiana Pacers,0,4.0,Thursday,February,14253.0
1999-02-25 00:00:00,0.7536231884057971,13387.0,18121.0,Dallas Mavericks,Denver Nuggets,0,2.0,Thursday,February,13203.0
1999-02-25 00:00:00,0.75,16285.0,16285.0,Houston Rockets,Atlanta Hawks,0,1.0,Thursday,February,16285.0
1999-02-25 00:00:00,0.4939759036144578,19763.0,19763.0,New York Knicks,Minnesota Timberwolves,0,4.0,Thursday,February,19763.0
1999-02-25 00:00:00,0.5441176470588235,12879.0,20674.0,Washington Wizards,Sacramento Kings,0,2.0,Thursday,February,16813.0
1999-02-26 00:00:00,0.6805555555555556,10925.0,17171.0,Denver Nuggets,Milwaukee Bucks,0,3.0,Friday,February,10926.0
1999-02-26 00:00:00,0.5441176470588235,18235.0,18624.0,Boston Celtics,New York Knicks,0,3.0,Friday,February,18624.0
1999-02-26 00:00:00,0.7435897435897436,17828.0,22989.0,Charlotte Hornets,Portland Trail Blazers,0,4.0,Friday,February,18633.0
1999-02-26 00:00:00,0.24285714285714285,11432.0,20108.0,Golden State Warriors,Phoenix Suns,0,2.0,Friday,February,15807.0
1999-02-26 00:00:00,0.4722222222222222,13271.0,22076.0,Detroit Pistons,Miami Heat,0,4.0,Friday,February,20083.0
1999-02-26 00:00:00,0.19718309859154928,16111.0,19800.0,Toronto Raptors,Minnesota Timberwolves,0,1.0,Friday,February,15122.0
1999-02-26 00:00:00,0.7362637362637363,19911.0,19911.0,Utah Jazz,Dallas Mavericks,0,4.0,Friday,February,19911.0
1999-02-26 00:00:00,0.4931506849315068,16542.0,17248.0,Orlando Magic,Indiana Pacers,0,4.0,Friday,February,17248.0
1999-02-26 00:00:00,0.7647058823529411,17505.0,17505.0,Los Angeles Lakers,Los Angeles Clippers,0,4.0,Friday,February,17505.0
1999-02-27 00:00:00,0.7362637362637363,22337.0,23079.0,Chicago Bulls,Charlotte Hornets,0,1.0,Saturday,February,22814.0
1999-02-27 00:00:00,0.7536231884057971,13203.0,18121.0,Dallas Mavericks,Sacramento Kings,0,1.0,Saturday,February,15009.0
1999-02-27 00:00:00,0.5441176470588235,16813.0,20674.0,Washington Wizards,Portland Trail Blazers,0,2.0,Saturday,February,18550.0
1999-02-28 00:00:00,0.4722222222222222,20083.0,22076.0,Detroit Pistons,New York Knicks,0,3.0,Sunday,February,20896.0
1999-02-28 00:00:00,0.5277777777777778,18173.0,18717.0,Milwaukee Bucks,Philadelphia 76ers,0,4.0,Sunday,February,17586.0
1999-02-28 00:00:00,0.7647058823529411,17505.0,17505.0,Los Angeles Lakers,Houston Rockets,0,4.0,Sunday,February,17505.0
1999-02-28 00:00:00,0.5128205128205128,15200.0,15200.0,Miami Heat,Orlando Magic,0,3.0,Sunday,February,15200.0
1999-02-28 00:00:00,0.6842105263157895,18596.0,19023.0,Phoenix Suns,Golden State Warriors,0,3.0,Sunday,February,18587.0
1999-02-28 00:00:00,0.5277777777777778,15374.0,19006.0,Minnesota Timberwolves,Portland Trail Blazers,0,4.0,Sunday,February,16219.0
1999-02-28 00:00:00,0.7530864197530864,19495.0,39554.0,San Antonio Spurs,Utah Jazz,0,4.0,Sunday,February,18165.0
1999-02-28 00:00:00,0.19718309859154928,15122.0,19800.0,Toronto Raptors,Chicago Bulls,0,1.0,Sunday,February,14173.0
1999-03-01 00:00:00,0.5441176470588235,18550.0,20674.0,Washington Wizards,Philadelphia 76ers,0,1.0,Monday,March,13814.0
1999-03-01 00:00:00,0.6842105263157895,18587.0,19023.0,Phoenix Suns,Los Angeles Lakers,0,2.0,Monday,March,19023.0
1999-03-01 00:00:00,0.7435897435897436,18633.0,22989.0,Charlotte Hornets,Toronto Raptors,0,1.0,Monday,March,18039.0
1999-03-01 00:00:00,0.4939759036144578,19763.0,19763.0,New York Knicks,Cleveland Cavaliers,0,3.0,Monday,March,19763.0
1999-03-01 00:00:00,0.4931506849315068,17248.0,17248.0,Orlando Magic,Atlanta Hawks,0,3.0,Monday,March,15359.0
1999-03-02 00:00:00,0.7215189873417721,14253.0,20562.0,Cleveland Cavaliers,Boston Celtics,0,1.0,Tuesday,March,12906.0
1999-03-02 00:00:00,0.5789473684210527,17645.0,20735.0,Portland Trail Blazers,Utah Jazz,0,3.0,Tuesday,March,19980.0
1999-03-02 00:00:00,0.5277777777777778,16219.0,19006.0,Minnesota Timberwolves,Golden State Warriors,0,2.0,Tuesday,March,14776.0
1999-03-02 00:00:00,0.5128205128205128,15200.0,15200.0,Miami Heat,New York Knicks,0,2.0,Tuesday,March,15200.0
