Time,Curr Win %,Last Attendance vs Opp,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
1999-04-02 00:00:00,0.6666666666666666,18025.0,Chicago Bulls,Orlando Magic,0.0,3.0,Friday,April,22517.0
1999-04-02 00:00:00,0.5384615384615384,17333.0,Minnesota Timberwolves,Denver Nuggets,0.0,4.0,Friday,April,15979.0
1999-04-02 00:00:00,0.4137931034482759,17363.0,Phoenix Suns,Los Angeles Lakers,0.0,1.0,Friday,April,19023.0
1999-04-03 00:00:00,0.3793103448275862,13144.0,Minnesota Timberwolves,Sacramento Kings,0.0,2.0,Saturday,April,17011.0
1999-04-03 00:00:00,0.8148148148148148,20580.0,Portland Trail Blazers,Phoenix Suns,0.0,4.0,Saturday,April,20056.0
1999-04-04 00:00:00,0.5555555555555556,18962.0,Cleveland Cavaliers,Milwaukee Bucks,0.0,4.0,Sunday,April,12041.0
1999-04-04 00:00:00,0.3448275862068966,15529.0,Washington Wizards,Miami Heat,0.0,2.0,Sunday,April,14951.0
1999-04-05 00:00:00,0.5714285714285714,15582.0,Minnesota Timberwolves,Dallas Mavericks,0.0,4.0,Monday,April,14107.0
1999-04-06 00:00:00,0.4827586206896552,16101.0,Cleveland Cavaliers,Chicago Bulls,0.0,3.0,Tuesday,April,14739.0
1999-04-06 00:00:00,0.5,20918.0,Philadelphia 76ers,Milwaukee Bucks,0.0,2.0,Tuesday,April,16055.0
1999-04-07 00:00:00,0.3333333333333333,14890.0,Boston Celtics,Washington Wizards,0.0,1.0,Wednesday,April,15901.0
1999-04-07 00:00:00,0.6451612903225806,18676.0,Chicago Bulls,Indiana Pacers,0.0,4.0,Wednesday,April,22484.0
1999-04-07 00:00:00,0.4375,16122.0,Phoenix Suns,Minnesota Timberwolves,0.0,3.0,Wednesday,April,19023.0
1999-04-08 00:00:00,0.7058823529411765,13111.0,Cleveland Cavaliers,Orlando Magic,0.0,5.0,Thursday,April,14512.0
1999-04-08 00:00:00,0.7857142857142857,18306.0,Utah Jazz,Golden State Warriors,0.0,4.0,Thursday,April,19506.0
1999-04-09 00:00:00,0.5161290322580645,14890.0,Boston Celtics,Philadelphia 76ers,0.0,3.0,Friday,April,18624.0
1999-04-09 00:00:00,0.7931034482758621,18306.0,Utah Jazz,Phoenix Suns,0.0,5.0,Friday,April,19911.0
1999-04-10 00:00:00,0.46875,13857.0,Cleveland Cavaliers,Atlanta Hawks,0.0,3.0,Saturday,April,13859.0
1999-04-10 00:00:00,0.6774193548387096,18676.0,Chicago Bulls,Miami Heat,0.0,4.0,Saturday,April,22508.0
1999-04-10 00:00:00,0.6666666666666666,15645.0,Phoenix Suns,San Antonio Spurs,0.0,4.0,Saturday,April,19023.0
1999-04-11 00:00:00,0.1875,14890.0,Boston Celtics,Chicago Bulls,0.0,0.0,Sunday,April,17169.0
1999-04-11 00:00:00,0.53125,17067.0,Minnesota Timberwolves,Detroit Pistons,0.0,2.0,Sunday,April,19006.0
1999-04-11 00:00:00,0.7857142857142857,19980.0,Portland Trail Blazers,Los Angeles Clippers,0.0,3.0,Sunday,April,18101.0
1999-04-11 00:00:00,0.8,0.0,Utah Jazz,Houston Rockets,0.0,5.0,Sunday,April,19804.0
1999-04-11 00:00:00,0.34375,20173.0,Washington Wizards,Philadelphia 76ers,0.0,1.0,Sunday,April,18761.0
1999-04-12 00:00:00,0.5151515151515151,18993.0,Minnesota Timberwolves,Houston Rockets,0.0,1.0,Monday,April,16093.0
1999-04-12 00:00:00,0.4545454545454545,14890.0,Boston Celtics,Cleveland Cavaliers,0.0,2.0,Monday,April,15622.0
1999-04-13 00:00:00,0.7931034482758621,19980.0,Portland Trail Blazers,Los Angeles Lakers,0.0,3.0,Tuesday,April,20705.0
1999-04-13 00:00:00,0.3333333333333333,20562.0,Cleveland Cavaliers,Washington Wizards,0.0,1.0,Tuesday,April,11533.0
1999-04-14 00:00:00,0.3636363636363637,14890.0,Boston Celtics,Atlanta Hawks,0.0,3.0,Wednesday,April,15364.0
1999-04-14 00:00:00,0.4857142857142857,18147.0,Chicago Bulls,Cleveland Cavaliers,0.0,3.0,Wednesday,April,22102.0
1999-04-14 00:00:00,0.5,21061.0,Philadelphia 76ers,Toronto Raptors,0.0,1.0,Wednesday,April,17474.0
1999-04-14 00:00:00,0.35294117647058826,20173.0,Washington Wizards,New York Knicks,0.0,2.0,Wednesday,April,17428.0
1999-04-16 00:00:00,0.6571428571428571,18624.0,Boston Celtics,Miami Heat,0.0,3.0,Friday,April,18624.0
1999-04-16 00:00:00,0.3714285714285713,12905.0,Washington Wizards,Chicago Bulls,0.0,3.0,Friday,April,14248.0
1999-04-16 00:00:00,0.4444444444444444,16734.0,Phoenix Suns,Dallas Mavericks,0.0,3.0,Friday,April,18623.0
1999-04-16 00:00:00,0.5142857142857142,21104.0,Philadelphia 76ers,Indiana Pacers,0.0,3.0,Friday,April,20665.0
1999-04-17 00:00:00,0.4864864864864865,20562.0,Cleveland Cavaliers,Charlotte Hornets,0.0,3.0,Saturday,April,15357.0
1999-04-17 00:00:00,0.8181818181818182,12616.0,Utah Jazz,Los Angeles Lakers,0.0,5.0,Saturday,April,19911.0
1999-04-18 00:00:00,0.5142857142857142,18676.0,Chicago Bulls,Milwaukee Bucks,0.0,2.0,Sunday,April,22296.0
1999-04-18 00:00:00,0.8235294117647058,16159.0,Minnesota Timberwolves,Utah Jazz,0.0,5.0,Sunday,April,17472.0
1999-04-18 00:00:00,0.3611111111111111,13864.0,Washington Wizards,Boston Celtics,0.0,3.0,Sunday,April,14964.0
1999-04-19 00:00:00,0.5277777777777778,21305.0,Philadelphia 76ers,New York Knicks,0.0,3.0,Monday,April,18049.0
1999-04-19 00:00:00,0.6052631578947368,18624.0,Boston Celtics,Indiana Pacers,0.0,3.0,Monday,April,18352.0
