Time,V Pop,H Pop,Curr Win %,LS Win %,Last Game,Last Attendance vs Opp,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
2004-01-10 19:00:00,8,3,0.3225806451612903,0.4657534246575342,12073.0,16226.0,20173.0,Washington Wizards,Philadelphia 76ers,0,2.0,Saturday,January,17146.0
2004-01-10 19:30:00,2,4,0.4117647058823529,0.4722222222222222,19763.0,19812.0,19763.0,New York Knicks,Milwaukee Bucks,0,2.0,Saturday,January,19763.0
2004-01-10 20:00:00,2,2,0.71875,0.625,15599.0,19479.0,20391.0,Minnesota Timberwolves,Miami Heat,0,4.0,Saturday,January,17026.0
2004-01-10 20:30:00,4,4,0.6764705882352942,0.7173913043478259,16413.0,16057.0,19034.0,San Antonio Spurs,Indiana Pacers,0,4.0,Saturday,January,18797.0
2004-01-10 21:00:00,5,4,0.53125,0.5569620253164557,19911.0,18306.0,19911.0,Utah Jazz,Atlanta Hawks,0,2.0,Saturday,January,19911.0
2004-01-11 13:00:00,2,5,0.5161290322580645,0.3333333333333333,18405.0,19800.0,20116.0,Toronto Raptors,Portland Trail Blazers,0,4.0,Sunday,January,18906.0
2004-01-11 18:00:00,5,3,0.6875,0.569620253164557,19111.0,22076.0,22076.0,Detroit Pistons,Dallas Mavericks,0,5.0,Sunday,January,22076.0
2004-01-11 20:30:00,9,8,0.5625,0.527027027027027,9956.0,16611.0,18226.0,Houston Rockets,Boston Celtics,0,3.0,Sunday,January,14878.0
2004-01-11 21:00:00,4,7,0.7419354838709677,0.6976744186046512,17317.0,17014.0,17317.0,Sacramento Kings,Denver Nuggets,0,5.0,Sunday,January,17317.0
2004-01-11 21:30:00,3,1,0.5,0.5945945945945946,19653.0,12847.0,19668.0,Los Angeles Clippers,Memphis Grizzlies,0,3.0,Sunday,January,13618.0
2004-01-12 19:30:00,5,4,0.4,0.4722222222222222,19763.0,19812.0,19763.0,New York Knicks,Dallas Mavericks,0,1.0,Monday,January,18230.0
2004-01-12 19:30:00,8,19,0.4722222222222222,0.4810126582278481,13552.0,17292.0,17283.0,Orlando Magic,Philadelphia 76ers,0,3.0,Monday,January,15474.0
2004-01-12 22:00:00,2,5,0.71875,0.7209302325581395,18997.0,18997.0,18997.0,Los Angeles Lakers,Cleveland Cavaliers,0,2.0,Monday,January,18997.0
2004-01-12 22:30:00,3,3,0.5161290322580645,0.6351351351351351,18129.0,18726.0,20310.0,Golden State Warriors,Memphis Grizzlies,0,4.0,Monday,January,13722.0
2004-01-13 19:00:00,8,3,0.3125,0.4657534246575342,17146.0,17085.0,20173.0,Washington Wizards,Houston Rockets,0,1.0,Tuesday,January,16254.0
2004-01-13 19:30:00,4,5,0.6571428571428571,0.4929577464788733,19445.0,10330.0,19635.0,Atlanta Hawks,San Antonio Spurs,0,3.0,Tuesday,January,11807.0
2004-01-13 20:00:00,9,2,0.6060606060606061,0.4861111111111111,18717.0,16376.0,18717.0,Milwaukee Bucks,Boston Celtics,0,4.0,Tuesday,January,13417.0
2004-01-13 20:30:00,3,17,0.696969696969697,0.5833333333333334,19491.0,18676.0,23067.0,Chicago Bulls,Detroit Pistons,0,5.0,Tuesday,January,17295.0
2004-01-13 21:00:00,4,13,0.3235294117647059,0.725,16848.0,17557.0,18422.0,Phoenix Suns,Denver Nuggets,0,0.0,Tuesday,January,15910.0
2004-01-13 21:00:00,3,4,0.5454545454545454,0.5569620253164557,19911.0,0.0,19911.0,Utah Jazz,Golden State Warriors,0,3.0,Tuesday,January,18241.0
2004-01-13 22:00:00,2,7,0.75,0.6976744186046512,17317.0,17014.0,17317.0,Sacramento Kings,Miami Heat,0,5.0,Tuesday,January,17317.0
2004-01-13 22:30:00,2,1,0.4516129032258064,0.5945945945945946,13618.0,11173.0,19668.0,Los Angeles Clippers,Portland Trail Blazers,0,1.0,Tuesday,January,12394.0
2004-01-14 19:00:00,8,9,0.5882352941176471,0.5569620253164557,18624.0,18624.0,18624.0,Boston Celtics,Houston Rockets,0,3.0,Wednesday,January,15445.0
2004-01-14 19:00:00,5,4,0.7058823529411765,0.5569620253164557,15753.0,15281.0,18345.0,Indiana Pacers,Atlanta Hawks,0,4.0,Wednesday,January,14735.0
2004-01-14 19:30:00,19,4,0.2571428571428571,0.4722222222222222,18230.0,19812.0,19763.0,New York Knicks,Orlando Magic,0,1.0,Wednesday,January,17249.0
2004-01-14 19:30:00,5,3,0.5,0.569620253164557,22076.0,22076.0,22076.0,Detroit Pistons,Toronto Raptors,0,3.0,Wednesday,January,18473.0
2004-01-14 20:30:00,2,4,0.6388888888888888,0.7173913043478259,18797.0,16057.0,19034.0,San Antonio Spurs,Minnesota Timberwolves,0,3.0,Wednesday,January,17411.0
2004-01-14 21:00:00,8,5,0.4594594594594595,0.7173913043478259,20315.0,17502.0,20677.0,Dallas Mavericks,Philadelphia 76ers,0,2.0,Wednesday,January,20221.0
2004-01-14 22:30:00,4,5,0.7272727272727273,0.7209302325581395,18997.0,17891.0,18997.0,Los Angeles Lakers,Denver Nuggets,0,3.0,Wednesday,January,18562.0
2004-01-15 20:00:00,17,3,0.53125,0.6486486486486487,15722.0,16844.0,19351.0,Memphis Grizzlies,Chicago Bulls,0,5.0,Thursday,January,12239.0
2004-01-15 21:00:00,2,4,0.5588235294117647,0.5569620253164557,18241.0,12616.0,19911.0,Utah Jazz,Miami Heat,0,4.0,Thursday,January,19751.0
2004-01-15 22:00:00,13,2,0.4375,0.5802469135802469,17316.0,19418.0,20630.0,Portland Trail Blazers,Phoenix Suns,0,1.0,Thursday,January,14202.0
2004-01-15 22:30:00,2,3,0.42857142857142855,0.6351351351351351,13722.0,18362.0,20310.0,Golden State Warriors,Cleveland Cavaliers,0,1.0,Thursday,January,19602.0
2004-01-16 19:00:00,4,4,0.6216216216216216,0.5569620253164557,14735.0,11133.0,18345.0,Indiana Pacers,San Antonio Spurs,0,2.0,Friday,January,18044.0
2004-01-16 19:00:00,9,19,0.2777777777777778,0.4810126582278481,15474.0,15947.0,17283.0,Orlando Magic,Boston Celtics,0,2.0,Friday,January,14211.0
2004-01-16 20:00:00,3,3,0.30303030303030304,0.569620253164557,18473.0,22076.0,22076.0,Detroit Pistons,Washington Wizards,0,1.0,Friday,January,20539.0
2004-01-16 21:00:00,5,4,0.5526315789473685,0.527027027027027,19402.0,19099.0,19812.0,Denver Nuggets,Dallas Mavericks,0,2.0,Friday,January,19216.0
2004-01-16 21:00:00,3,13,0.3611111111111111,0.725,15910.0,17259.0,18422.0,Phoenix Suns,Golden State Warriors,0,2.0,Friday,January,14921.0
2004-01-16 22:30:00,2,1,0.3684210526315789,0.5945945945945946,12394.0,14771.0,19668.0,Los Angeles Clippers,Miami Heat,0,1.0,Friday,January,14233.0
2004-01-16 22:30:00,5,7,0.7575757575757576,0.6976744186046512,17317.0,17317.0,17317.0,Sacramento Kings,Los Angeles Lakers,0,5.0,Friday,January,17317.0
2004-01-17 13:00:00,3,8,0.4473684210526316,0.569620253164557,18622.0,20645.0,20965.0,Philadelphia 76ers,Memphis Grizzlies,0,2.0,Saturday,January,20054.0
2004-01-17 15:30:00,2,8,0.7058823529411765,0.527027027027027,14878.0,15073.0,18226.0,Houston Rockets,Minnesota Timberwolves,0,4.0,Saturday,January,18145.0
2004-01-17 19:00:00,5,5,0.4848484848484849,0.4929577464788733,11807.0,10124.0,19635.0,Atlanta Hawks,Toronto Raptors,0,2.0,Saturday,January,13928.0
2004-01-17 20:30:00,3,2,0.5882352941176471,0.4861111111111111,13417.0,13898.0,18717.0,Milwaukee Bucks,Detroit Pistons,0,3.0,Saturday,January,18717.0
2004-01-17 20:30:00,4,17,0.4324324324324325,0.5833333333333334,17295.0,18498.0,23067.0,Chicago Bulls,New York Knicks,0,3.0,Saturday,January,22202.0
